,second,frame,brightness_mean,brightness_max,brightness_min,saturation_mean,texture,contrast,color_entropy,loudness.1,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,spectral_centroid,spectral_rolloff,zero_crossing_rate,Unnamed: 0,anger,joy,disgust,fear,sadness,sentiment,content,sentiment_count_product,cid,view,reply,favorite,coin,share,like,duration,danmuku_amount,loudness
second,1.0,0.99959765645098,-0.14146815942565874,-0.04793487027300249,-0.012179731360653999,0.22026882353445348,-0.03437981122500275,-0.16671004146686252,-0.06670168209426972,-0.13150299946119667,0.007461692893282302,0.004093754570357428,-0.010863813961782699,-0.0249742765314274,-0.017208545050803867,0.013467530521274178,0.08897045793708261,0.008296150525678433,-0.040024370346214186,-0.05611920320358485,-0.05020096627634504,-0.016111620481165642,-0.24486105222875418,-0.09152743505855639,0.18637758266810092,0.18949045663211797,0.04476048952970958,0.14018024230178558,-0.05067467665346359,0.043577251293523946,0.08673837287339867,-0.00043600994297432455,-3.760982047987946e-05,-0.04750437770984739,0.0005130559503063635,-0.0024803710850636574,0.06318302285477533,-0.0941015094283901,0.07892200768702429,-0.0776700286199459,0.06291098107504967,-0.09254447305363481,0.2528018348765524,0.12347583614546566,0.25651476179202215,0.9012397684257477,-0.0232374922579926,-0.0024611339956757913,-0.004032339302124363,-0.011531174152898848,-0.00589146675178793,0.02566787963585001,-0.0513322098267301,-0.043051520825200425,-0.1439909570255313,-0.031395041124258775,-0.03214907721489494,0.21187829039660078,0.03843332115990481,0.020000644565448932,-0.03783764212950723,0.829300378727079,0.027226465265104593,-0.03952083277742951
frame,0.99959765645098,1.0,-0.1416427528340475,-0.04822548745479315,-0.012305067435851757,0.22126286551069932,-0.03412499593556415,-0.16832658063695374,-0.06640675775002192,-0.13134282207974382,0.007257943857657895,0.0037064308233712797,-0.011095811546812136,-0.025143320062965404,-0.017116181720439428,0.013670614056356846,0.0884571967994119,0.007818409412061546,-0.040666908240173334,-0.056737272185511216,-0.05093449545452066,-0.016513260286809748,-0.24689405227671188,-0.09304222141751897,0.18640680418717706,0.19097671315666048,0.045767385377788954,0.13926980199230718,-0.05006957831627304,0.04321012773411606,0.08685201551087547,-0.0004748001626848265,-0.0008004710955083412,-0.04715513181197615,4.5295033382565286e-05,-0.002748103530618776,0.06266646354043476,-0.09396124489765845,0.07830415407813252,-0.07754762920100697,0.061591489143200256,-0.09231430931531372,0.2541319397401012,0.12362214804389389,0.25826727388952553,0.9033622913161516,-0.0216728774857606,-0.0008907706042666799,-0.002509043975639922,-0.00981595812212482,-0.003927569527922715,0.02381350791426566,-0.046285824710022086,-0.03828949765152867,-0.14612417565278354,-0.032107896629545996,-0.032233165429775036,0.21277287828149422,0.036704525946756536,0.018719263049090416,-0.03830095722321009,0.8317433258543786,0.029931848621916588,-0.041154285586906446
brightness_mean,-0.14146815942565874,-0.1416427528340475,1.0,0.17004590521365825,0.11744069236284446,-0.5845376342913385,0.05000980828113799,0.2864688357175076,0.35517078349568987,0.019237902359711973,-0.005385798160065607,-0.006202232371074944,-0.005017955043610975,-0.005451153333396692,-0.0010495136720857117,0.007498870146285544,-0.0420398129179649,-0.022747627259943688,-0.00607924601901554,-0.003352935975722947,-0.0025723548095628692,-0.0023004599620514727,0.04861231386144302,-0.01613912773960099,-0.05398236092076192,-0.03313023564876877,0.022314874553904185,-0.038958882794717445,0.01740898129428662,-0.022748796318290986,-0.007521044047812995,0.002271777989622702,-0.010744692313090434,0.011003429758222683,-0.0064363940910719215,-0.006770894998136944,-0.024754184095723383,0.028491177472878142,-0.040543900645883875,0.02945701176514492,-0.02143479737304629,0.03644920438709625,-0.025170366681369634,-0.014778362877445373,-0.025326923526074886,-0.05936819374577587,-0.005267906450668751,-0.015640152516360636,-0.019743466460695712,-0.0012850101022567244,-0.0050657011707246615,-0.021720327644002124,-0.001609712929043162,-0.008258445859413923,0.039974771965596255,0.014214608412260115,0.004134719890664861,-0.05029343194255106,-0.021675141488181986,0.012679222230037649,-0.018122460045938944,-0.16397418446883436,0.001220071781845988,0.011530208888725654
brightness_max,-0.04793487027300249,-0.04822548745479315,0.17004590521365825,1.0,-0.03066482570053201,-0.09617167524369329,0.010802816579916047,0.21628764427833438,0.2100085850735951,0.017428792225672545,-0.009423799106606406,-0.007739779434529979,-0.005608935049545565,-0.0051800570251306485,-0.003111292265418167,-0.000836167183485738,-0.02391440041698861,-0.014334581305351736,-0.007451093111926603,-0.005624877129139452,-0.005477490489051174,-0.007202155548771874,0.037673601197277064,0.0181147117983406,-0.03261169587046159,-0.030902184977811716,0.025452852556800215,-0.02762122186573932,0.012981077367274324,-0.01682390007171466,-0.004806441386680385,-0.015070685678543477,0.0037680899848274796,-0.001849305211941567,-0.0040048336116497996,-0.008576627101736746,-0.007988638188051345,0.004306807470595341,-0.02522626770334024,0.01031882111163693,-0.017941509615684692,0.012736505067465737,-0.02197550484423437,-0.018056550234027618,-0.0232631665249412,0.018257970978008096,0.0021572859754939258,-0.0011343958361245778,0.003654169004117703,0.00018589458849952215,0.004039699475572511,-0.009832190919404482,0.008534910126891114,0.006054213049316465,-0.0020464189057989236,0.010216491523537844,0.013027849274869566,-0.03006670086261557,-0.002870811223780869,-0.008105162479650162,0.0003133912401920966,-0.053590766170362486,0.01897923341284402,0.012817101078372193
brightness_min,-0.012179731360653999,-0.012305067435851757,0.11744069236284446,-0.03066482570053201,1.0,-0.08586419205822059,-0.011588596089774307,-0.14299525910971192,-0.0777896944427231,0.007158433054889664,-0.002787580736649249,-0.0013971814632049325,0.0008204826193626744,0.002076827995179354,0.005446866564030727,0.005615960997970825,0.0036428506761266377,-0.0008948122739784719,-0.00119159738974818,-0.001141572863971111,-0.001766387738454181,-0.002963506712372884,-0.0009538677174809986,-0.003343589471820946,0.0059842799814406305,0.010894805041277435,0.00542751048668611,-0.003547478808857489,0.0019126613868464737,-0.0029166805076378025,0.014437956384070414,0.012342806137527794,-0.006066385723258594,-0.005933067265928105,0.009007292745363112,-0.001584025303077894,0.004990258425409956,0.0073722944275463114,0.0027458665710651743,0.004408928337640995,0.01170810095731279,-0.0004828487861898784,0.011289020057080412,0.012537286061144291,0.011910496160103447,-0.009774841736621312,0.0005209032744751822,0.006772617565523803,-0.0024198852896404077,-0.0008062809284067404,-0.002771320779227066,0.005807941736303526,-0.002587768048627393,-0.0004172889817950323,0.009221980585130253,0.0010573441396422105,0.000631075394953035,0.015250380912775589,-0.0010369989452840174,0.00609028069102317,0.003950371592325961,-0.013076153362770968,-0.005076944244756142,0.0015238954379576438
saturation_mean,0.22026882353445348,0.22126286551069932,-0.5845376342913385,-0.09617167524369329,-0.08586419205822059,1.0,-0.016484440099749604,-0.22705324370342186,-0.43136638559557994,-0.009211431056688268,-0.011784144217194766,-0.013499766325892738,-0.017226529522316514,-0.02297102891738673,-0.02435197959765305,-0.0201822700204941,0.037997510389528893,-0.0003199362226762383,-0.02520873348002966,-0.0287106881942344,-0.029826821959912812,-0.02194956402236436,-0.08680004995222682,-0.0076503638438923495,0.09617507597604363,0.06704087539418332,0.010504579548461686,0.04828991574204501,0.01337378924454702,0.007358275561290356,0.026332965034360212,-0.0143582275878609,0.017924430096146454,-0.025412080140271832,0.022471270177664798,-0.013333632239029024,0.03025659931078412,-0.04836863317130191,0.05218476811892614,-0.03896477978358975,0.029256219517553674,-0.056938805690910296,0.11417426278109633,0.07036496511016983,0.11640075942350069,-0.04038023786315975,0.007569212641026696,0.008843782161603869,0.011741922869797463,0.0076096647947485685,-0.0019264112704672105,0.03015670878883645,-0.012686001678892705,-0.0026226472734600507,-0.06467380456997147,-0.05345590915724872,-0.055860754033992356,0.0914449772943785,-0.029442321964796188,0.002774639684733941,-0.005479020084965716,0.26283364361325673,-0.08652003110779387,0.012534018894326454
texture,-0.03437981122500275,-0.03412499593556415,0.05000980828113799,0.010802816579916047,-0.011588596089774307,-0.016484440099749604,1.0,0.007179002737983268,0.020518069271395694,-0.02410288437023656,0.0008622043448145921,-0.00010087700154377622,0.0006987895157819104,0.004004219640929042,0.005610514306791188,-0.0018062283006595075,-0.011051984268485486,-0.005999451795817304,-0.0020235445554683796,0.00032800487672351574,0.0006540817715344756,6.556404267003678e-06,-0.016186065875137882,-0.007141618759728065,-0.004304662148929345,-0.010890521106284575,-0.015975376214714718,0.0010849060265625487,0.0011697805012103114,0.005409155910716098,-0.005990812978620978,-0.006638470121126221,0.001501479567279953,0.011128480000745032,-0.006634694306193168,-0.0005581712446157825,0.003985622364519825,0.005691635942991812,0.007569285990988972,0.002667995811937041,-0.004753328456862152,0.006855356039527187,-0.006368658344993975,-0.005165609111144734,-0.004419749301796511,-0.035192244771894816,-0.007354591296451675,-0.0077770983186378415,0.004058067477203755,-0.003309615246645238,-0.0014987583760362273,0.01262948240991669,-0.016724883750528715,-0.011655112547719301,-0.014989835631947343,-0.032897516366606705,-0.02418703069027086,-0.02473145897062233,-0.0199744201983708,-0.022033005191961573,-0.02593126084343182,-0.035085205492626136,-0.023018096302911344,-0.01233707207484245
contrast,-0.16671004146686252,-0.16832658063695374,0.2864688357175076,0.21628764427833438,-0.14299525910971192,-0.22705324370342186,0.007179002737983268,1.0,0.3232263099600699,0.014314142936511955,-0.009762831453057631,-0.009699995467131342,-0.00941802445502766,-0.011859436190138845,-0.014345232461941275,-0.008252911751678346,-0.04562408789746101,-0.020987673197406267,-0.004731264872132299,-0.0024721903594212905,-0.0030241751056998925,-0.004940526110876264,0.0761054798135026,0.02447571550165642,-0.0681628481587194,-0.07980227758710695,0.00879703897480943,-0.03153761298055144,0.012077126940614908,-0.024217459749315967,-0.021886595688610493,-0.020806821304154653,0.008028471986755418,0.006854221345364678,-0.0037640110581621225,-0.009398791243649141,-0.027326595222467578,0.009792514649478602,-0.030380756749299662,0.019731256313816517,-0.029132619010042337,0.02788143344671799,-0.06916965265803406,-0.03968827293056406,-0.07124431000820991,-0.004299430712068175,-0.0011653107384734136,-0.015382820771028137,0.0022097352438028477,0.01276723011144183,-0.010186798057474144,-0.020493070996906945,-0.018244845370931666,-0.026395025103270704,0.019559044815357557,0.007438713727522081,0.017799905176534177,-0.08855087001032398,0.009191875909455444,0.0013454058879508765,-0.008792324478055762,-0.20680733510238727,0.008754274643061447,0.0027826453401750212
color_entropy,-0.06670168209426972,-0.06640675775002192,0.35517078349568987,0.2100085850735951,-0.0777896944427231,-0.43136638559557994,0.020518069271395694,0.3232263099600699,1.0,-0.022110405258325198,-0.0029309187011025474,-0.00010793066490280867,0.0025401510215526347,0.002707799689550669,0.004409537509624318,0.013439521869974365,-0.03287929003947944,-0.018270655076119465,-0.008223376562829707,-0.007107713571062147,-0.007083421254692369,-0.0035193608695616822,0.016409562091419583,0.006911410828019452,-0.02692887957041824,-0.05550214202681432,0.005440201076341199,-0.027016401873542248,-0.029102830404321166,-0.023679554011914045,-0.004398626138266643,-0.04332006311526768,0.01746173626805289,0.0070480261291936365,-0.010601396728131016,-0.01612845944959055,-0.007461987936754776,-0.014717881475748514,-0.009487855822932862,0.002944873970601158,-0.008631371828713891,0.021007324874384208,-0.011689154389878444,-0.0043853052147266,-0.014789008674028166,0.01777016307808772,-0.016777264479311733,-0.019814001145189938,-0.020107930560016623,-0.05067474609119108,-0.01109269853876615,-0.024106236486793182,-0.015915542779491833,-0.021249640072003834,0.017149047067494372,-0.0739585502665883,-0.02867110044888002,-0.12454125847105718,-0.06534009116958923,-0.10139334920660598,-0.08414987089568596,-0.09042629787326385,0.0038815560507678127,-0.016457010065077833
loudness.1,-0.13150299946119667,-0.13134282207974382,0.019237902359711973,0.017428792225672545,0.007158433054889664,-0.009211431056688268,-0.02410288437023656,0.014314142936511955,-0.022110405258325198,1.0,-0.07369065445446622,-0.0707707436681853,-0.0638471111703567,-0.06031979750048322,-0.06883396762783973,-0.08238497519483438,-0.08905908997958507,-0.07156792796008021,-0.060790948255460595,-0.05905381311460345,-0.05719777986878311,-0.0687993986216778,0.6381768705704258,0.5329503016623546,-0.004147385635945833,-0.15281652625280143,0.2706065439674724,-0.23631237084914786,0.3432253509221327,-0.20049822919621857,-0.010295853542868334,-0.13485007341715832,0.06290084491451782,-0.13628000627333237,0.09979215650065935,-0.21775709370939206,-0.0092142601017377,0.003944227178053619,-0.10098187695255276,-0.01936810968774511,-0.0654338343468447,-0.05647763893170103,-0.18090531204720842,-0.1407460868295118,-0.16544293520155606,-0.08331701124564193,0.01462477388231128,0.01635921120221692,0.007456237904808453,-0.0005739424088422911,0.010744714124760016,0.022490630622042304,0.03518156868729499,0.04431122686927105,0.023846958118902434,0.056889214877796176,0.01798766610710795,0.09558408680381565,0.031126380032269408,0.040664186920368925,0.09810560959691517,-0.15963613618438935,-0.042215264117020784,
