,0
Unnamed: 0.1,0
second,0
frame,0
brightness_mean,0
brightness_max,0
brightness_min,0
saturation_mean,0
texture,0
contrast,0
color_entropy,0
loudness,0
chroma_0,0
chroma_1,0
chroma_2,0
chroma_3,0
chroma_4,0
chroma_5,0
chroma_6,0
chroma_7,0
chroma_8,0
chroma_9,0
chroma_10,0
chroma_11,0
mfcc_0,0
mfcc_1,0
mfcc_2,0
mfcc_3,0
mfcc_4,0
mfcc_5,0
mfcc_6,0
mfcc_7,0
mfcc_8,0
mfcc_9,0
mfcc_10,0
mfcc_11,0
mfcc_12,0
mfcc_13,0
mfcc_14,0
mfcc_15,0
mfcc_16,0
mfcc_17,0
mfcc_18,0
mfcc_19,0
spectral_centroid,0
spectral_rolloff,0
zero_crossing_rate,0
Unnamed: 0,0
anger,0
joy,0
disgust,0
fear,0
sadness,0
sentiment,0
content,0
sentiment_count_product,0
bvid,0
cid,0
view,0
reply,0
favorite,0
coin,0
share,0
like,0
order_pubdate,0
duration,0
danmuku_amount,0
