,Unnamed: 0.1,second,frame,brightness_mean,brightness_max,brightness_min,saturation_mean,texture,contrast,color_entropy,loudness,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,spectral_centroid,spectral_rolloff,zero_crossing_rate,Unnamed: 0,anger,joy,disgust,fear,sadness,sentiment,content,sentiment_count_product,bvid,cid,view,reply,favorite,coin,share,like,order_pubdate,duration,danmuku_amount
Unnamed: 0.1,1.0,-0.01362701828980281,-0.014404759691622923,0.0027194761015533917,0.013457935536287272,-0.004571200077251832,0.018725569925730393,0.010132038923918467,0.04918660920708307,0.02236752284872237,0.013489795071770892,0.001686551180024802,0.0033843613562635007,0.0037613261428595976,4.31439396084116e-06,0.0015513759448734382,0.003624354541790573,-0.0033284905453840664,0.00022809764180644994,0.0005550629438128259,0.004446065515419925,0.0032060763783783586,0.0017505349593426322,0.021627751451848667,-0.008420921460819186,-0.0035410191183231337,0.00749592240066647,0.00310973069900067,0.011297501964754637,-0.002185317182086338,0.0022516090004890744,0.0011418935234485958,0.006316759096077151,-0.013464718161777807,0.0026897163346526714,-0.011051252449101564,-0.001760749063537607,-0.009319864376363295,0.00732258213595263,-0.00236770044983314,-0.0005562753017507767,0.0036198162969842077,-0.0023390678873033855,-0.003073845045758706,-0.014458391894652737,-0.0005721815723748001,-0.014611613020096925,0.0049646566540862734,-0.00950049712158147,0.005981733871998189,0.013526486192342457,-0.002440210763480444,-0.01992150630871191,-0.009028898431669114,-0.01519516049534767,-0.07299768323622911,0.012017515875105494,0.04950228979222107,-0.015186295089826994,-0.005768290283906909,-0.029092291838508862,-0.008426998249889068,-9.816139906879426e-05,0.011541164332672379,-0.005267053814403845,-0.021774602596267383
second,-0.01362701828980281,1.0,0.9979905507598722,-0.04479586117383311,0.03186848753619178,-0.01767663965388309,-0.04144130407517327,0.009425222767065334,0.04005001025951057,0.04482174919128095,-0.125711051288108,0.03641651253915771,0.04168432093553035,0.040146611142756146,0.04056245700474997,0.03709078651364754,0.03740791606829882,0.03952308448986558,0.03362896190783717,0.035574655184784,0.033604479783334765,0.035069886584265124,0.03449207409370988,-0.08118782444073701,-0.09623576356332064,0.035420603257539776,0.006479301695575183,-0.08040945337868254,0.0771770821283935,-0.09300557299808064,0.06546534369362707,-0.013864643025135537,-0.0073863607317696655,0.03306905289625812,0.04220126908017894,-0.004305589639279595,0.06502412458290013,0.02099893917443364,-0.014914218470907107,0.05606904897938828,-0.019098545602068567,0.028687669193035996,0.01671026992846686,0.019498732796959746,0.022011693891825408,0.0030236264364767165,0.9613395940367285,-0.02855520842914187,-0.022069533426412814,-0.012455673636473803,-0.0208506509326948,-0.0160241320605598,0.022905103824287024,-0.10710882680361838,-0.08693471590448332,-0.0228630958572899,0.021001064861092437,0.05960239191394818,0.11185734971303134,0.08248755817834325,0.3038899277577857,0.1041273631724102,0.05439520583960196,0.02320940194311393,0.6398813437806083,0.4358422443236122
frame,-0.014404759691622923,0.9979905507598721,1.0,-0.04443029694461436,0.03259165479839571,-0.01931874702811463,-0.040438453911030035,0.006975136640636627,0.03900300843288627,0.05020136610470515,-0.1278059092062276,0.03664264468782427,0.04160518498076597,0.04028760409310485,0.04094762587684278,0.03803601501748842,0.038784209244985206,0.03772711852520918,0.032966284293549634,0.03533624824545148,0.033506624207620364,0.034919040859241024,0.034542854389528636,-0.08388911263232048,-0.09881394482328627,0.03679419103190691,0.006194136838476837,-0.0807188774089786,0.07638797872597057,-0.09405521417910175,0.06349694344750627,-0.013553015538803077,-0.007743469592145283,0.03347023886328716,0.045452496855856894,-0.005408089538230286,0.06559793847935547,0.022028011847392986,-0.014963230100789603,0.05736908590094136,-0.019010899651096497,0.02702357369646999,0.018689943957997137,0.021382146752327306,0.020563217142670488,0.004965149407552169,0.9596891088845411,-0.02815158890610976,-0.022946994340647363,-0.012254096256758804,-0.01976013169984832,-0.01544993376316189,0.02058349747755155,-0.1065898768637653,-0.08746499070949011,-0.021651317308827675,0.02291725604324419,0.05426464662016164,0.11001731191335143,0.07493569476377665,0.2974731992189618,0.09669740533464401,0.048356623466316334,0.02521980314300285,0.6373993545804719,0.43344828106245037
brightness_mean,0.0027194761015533917,-0.04479586117383311,-0.04443029694461436,0.9999999999999998,0.13415473500276423,0.12554788413993773,-0.48471371481689574,0.048018115640164276,0.1364454628365073,0.24177315590014778,-0.010139162758396951,0.006108917690696575,0.004832536121143338,0.003296367145751436,0.003305236366416731,0.005292933536564549,0.008987779952364112,-0.0025031904741563975,0.0027338990965848483,0.005158303462997725,0.005702646825657245,0.007358168109761678,0.007529851079530974,-0.0016659913217517066,-0.019159371986622813,-0.010957347386099447,0.006605926711098015,0.011809506279418047,-0.014498206927353423,0.011578688569581433,-0.0050953734881343665,0.0045527066370153685,0.012973793293946996,-0.0029223308891301453,0.014097770941585727,0.0019637235287779495,0.005601680723608605,-0.003789814318088283,0.0177819382928686,-0.01864655231401667,0.008434458131775145,-0.010649366714716866,0.020070217946421384,0.012111503727148965,-0.006674523397519796,0.01043934809345824,-0.04880679951064491,-0.002267665909905993,-0.006861097857861115,-0.012359310671407588,-0.00525513424980007,-0.0062945579370138624,-0.019939369839934877,-0.008939479870842185,-0.015983495417386515,0.007999570525433167,0.00038216890662714587,-0.06004718287766555,-0.06903472068803608,-0.10959392755998813,-0.07378081674834894,-0.09388127745876426,-0.04590295114444644,0.0002621514424359991,-0.05517089524771735,-0.04984954877380343
brightness_max,0.013457935536287272,0.03186848753619178,0.03259165479839571,0.13415473500276423,1.0,-0.1307218637151425,-0.008316218086868572,0.0018823905801223877,0.1908482998578915,0.21349074518732924,-0.0029800156310136982,-0.0011290236394353732,-0.0021979956335230785,-0.004421528590596873,-0.004962164339006967,-0.00648848607830068,-0.010412295204333386,-0.01696567222863891,-0.0026045781599169106,0.0038541494131613787,0.0035754195819118787,0.0037200907927531337,0.0015987086797617188,0.013968426751350047,0.0183836501487209,-0.01686851937874944,-0.02185254993177355,0.008323504389526608,-0.008171366258645282,0.007207274527494462,-0.003221413977641521,-0.011538464214023828,-0.012405973288469804,0.0048263331814474425,0.013820305238695837,-0.009179167390423052,-0.0037871663354811266,-0.004935445099083003,-0.0034346318090777007,-0.018094646023939905,-0.0015308501180195176,-0.022611928156544205,0.006381914100113414,-0.034581667598795565,-0.04274162449587165,-0.03392228839858591,0.03268407097040044,-0.004574982663630104,-0.016783667454858334,-0.00041044988275217476,-0.007303290095492542,-0.010393061701409205,-0.026457680026047502,-0.004947844626725042,-0.01565236592334938,-0.006187522746770554,0.006474887947264605,-0.008123313510648522,-0.018489678695110347,-0.09262418873264165,-0.05875006530383076,-0.08500027778315232,-0.04658699515051429,0.006864728817841617,0.009420030948945479,0.019526365037484738
brightness_min,-0.004571200077251832,-0.01767663965388309,-0.019318747028114626,0.12554788413993773,-0.1307218637151425,1.0,-0.1554539728704548,0.0017315680081580469,-0.14276263887811716,-0.13656037202143662,0.004347116866050855,-0.0015504717229137392,0.0010365184323209088,0.0031908814771796855,0.0032179788077190425,0.0054153609708546945,0.006822331551055735,0.013555812152940685,0.00254559870214973,-0.0017235554816230078,-0.00324962475523283,-0.004109392572071652,-0.0034825979343613943,-0.008546729118319026,-0.004784781101340933,0.010152581777864666,0.020648373298641907,0.006063945967632035,-0.0007059579360208694,-0.0016731334132546972,-0.0026933476161025154,0.015314246076662411,0.015086058226803657,-0.007873675764337486,-0.012170080857017013,0.009354821701532831,-0.0008926654595495607,0.006696372816826127,0.007216570201022539,0.001270474739740136,0.0030995400112495937,0.018748762993234344,-0.0014718829356006986,0.019547210897642584,0.027429550200416073,0.01857656107253265,-0.016375460072682393,-0.0030378610197507932,0.005527058329106442,-0.004736279907010173,0.0013214364502283536,-0.002470460726181015,0.014901489762144332,-0.004579127103322623,0.001549823105394177,0.0033138485340520954,-0.001599175354119025,0.003235429732845479,0.007279892849518074,0.03584953269271199,0.028121666317979285,0.03227020313918235,0.021870594880195104,-0.0018753365214336252,-0.008298086634858905,-0.010732299115379039
saturation_mean,0.018725569925730393,-0.04144130407517327,-0.04043845391103003,-0.48471371481689574,-0.008316218086868572,-0.1554539728704548,1.0,-0.006219523420810996,-0.09025984206022938,-0.13798035292517158,0.031102966905936526,-0.020846065980767468,-0.022637900863090095,-0.019333010097654223,-0.02118276330045262,-0.018882562897333262,-0.01813857100102677,-0.015093497764220145,-0.019252103086285118,-0.02280612877814813,-0.021175588063162273,-0.022739031964292476,-0.02293695939882196,0.0038716389467649435,0.024920303201550607,0.02779268547570375,-0.013790726249817873,-0.0044035350621487,-0.0036805627773978332,0.01724507858707878,-0.015033835459016737,-0.005218741656533266,-0.030279304574480106,0.020504288159333656,-0.013330514886267578,0.00926141305684214,-0.024872247165264028,-0.0004736092655857347,-0.03381532471706393,0.02597640731046695,-0.011621433865542798,0.0052209926965079215,-0.022615288215622576,0.027899727438408052,0.029147311977462998,0.028621063022882306,-0.04888909099775927,-0.005742014316062747,-0.006243260495448433,-0.005777423262165216,-0.005183197985364898,-0.0028211281048866723,0.02754555772307951,-0.027065442245024097,-0.014458548258745247,-0.008675928907616455,-0.005188282918271798,-0.03746320118036855,-0.03969123617725309,0.058032706647527035,-0.02172337228284313,0.022682265828206413,-0.0029074586048474303,-0.006680213018124427,-0.04920721715064823,-0.06304527173160647
texture,0.010132038923918467,0.009425222767065334,0.006975136640636628,0.04801811564016428,0.001882390580122388,0.0017315680081580469,-0.0062195234208109965,1.0,-0.004756428236005065,-0.020609399598772518,-0.006770241169437176,-0.0012161911510026862,-0.0010935937802133296,-0.0005501145627843899,-2.6495297038712006e-05,0.002316747264985698,-0.00023044438607740928,0.0003227649820779802,-0.0009746073359585093,-0.0013833578361764538,-0.002296001474491624,-0.0011115361272712244,0.00018113319767851713,-0.011229514217745911,-0.012462802755637794,0.004009789888108249,0.014802046834471685,0.001150167396864376,0.008469618326039739,-0.00022474168298907148,0.007715124162183812,0.008597672149323997,0.009873832289912425,-0.014917105963154712,-0.006355373429869531,0.000268440155355545,0.0024723436420982545,0.001270920878668291,0.0034153719098989816,-0.008216744050139392,-0.0005232841742786588,0.007326455274264051,-0.009426010283241798,0.007606065022788554,0.00902438441143237,0.008526979866481899,0.0016494194720856799,-0.005532688149459324,-0.005610757119825024,-0.00538237518637553,0.002411544766820297,-0.0015456433284566705,0.007547188808764642,-0.024637042129312413,-0.01919707293770346,-0.0051899839149598835,-0.02106379729345296,-0.007726426341235743,-0.019577669340520604,0.011176029357995726,-0.00883251115810284,0.0065413155910310555,-0.008526330173825047,-0.020770101539127096,0.009870706200710691,-0.015517487874844447
contrast,0.04918660920708308,0.04005001025951058,0.03900300843288627,0.1364454628365073,0.19084829985789148,-0.14276263887811716,-0.09025984206022937,-0.004756428236005065,0.9999999999999998,0.3518021298225117,-0.008033278969136337,0.0024740442378745845,-0.0008117963712019743,-0.005312577854127148,-0.006707089828633435,-0.008963224015112339,-0.008282403375062456,-0.011785389616040304,-0.001939237415737115,-0.0005000251691473298,-0.001032172070005419,0.001961597713296929,0.0036915152251683443,0.0179804770370803,0.02455924428912249,-0.024349805488025875,-0.04567353773589158,-0.0024951155837172868,-0.013697219307664816,0.005212687018426543,-0.006473873220243309,-0.013802715695068446,-0.018876455917663095,0.014258626339335362,0.006209553358930266,0.004243343384250233,0.0024463778299359997,-0.012326791783638399,-0.005898073644845963,-0.004643332130850085,-0.00029548551673427365,-0.021843933252675193,0.005575551929062988,-0.031657928524705996,-0.03286335139620943,-0.03156422855604724,0.030268625175620126,-0.006902955637730643,-0.014584167061506089,0.0008118368918748794,-0.005439051576772271,-0.014334952703897364,-0.01986468504311509,-0.03619809785148166,-0.040865425232407306,-0.005969234716155181,-0.011909593940754517,-0.036067011977269935,-0.03695650440047999,-0.09064580133889096,-0.009885082008054522,-0.07591966453325504,-0.04900465655105202,-0.01174634994085517,0.035612188557931516,-0.0008682672447596626
color_entropy,0.022367522848722367,0.04482174919128095,0.05020136610470515,0.24177315590014778,0.21349074518732924,-0.13656037202143662,-0.13798035292517158,-0.020609399598772518,0.3518021298225117,0.9999999999999998,-0.05319812175920921,-0.003186685956357077,-0.005833326820911,-0.006692589287667992,-0.003437251673798631,-0.002098761752518701,0.0024779436514198844,-0.025790808459976954,-0.011045552761990235,-0.00997211286064005,-0.011393536632430944,-0.009428511854836827,-0.005979280594185343,-0.02779063253591244,-0.0011967842009720096,0.0007266422168700133,-0.058159233914879295,-0.011923098464576929,-0.023847557104497513,-0.026794429813740774,-0.018694542883145898,-0.0052667035762862914,-0.05447651707951152,0.04007287631326159,0.03132727140181526,-0.0003315329240826087,-0.007946199263524396,0.008386960656919625,-0.03402674081445899,0.010982429264535474,-0.014046452394540403,-0.016124085512922454,0.008268416880672754,0.019984026833958533,-0.012651151413008299,0.01910313980885669,0.03768599985711503,-0.018062332827505884,-0.025923888580744497,-0.014099706993109135,-0.028368670083812098,-0.025195061393316478,-0.0382698277216708,-0.031513250233498526,-0.045547164529753034,-0.0019637452752711074,-0.019968450644035674,-0.10119179625533102,-0.10291263431764061,-0.22806991952709332,-0.12148128875115594,-0.18961578381598918,-0.13949636136036928,-0.019587986311499033,0.018579397445182014,-0.006715721972586011
