,Unnamed: 0.1,second,frame,brightness_mean,brightness_max,brightness_min,saturation_mean,texture,contrast,color_entropy,loudness,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,spectral_centroid,spectral_rolloff,zero_crossing_rate,Unnamed: 0,anger,joy,disgust,fear,sadness,sentiment,content,sentiment_count_product,bvid,cid,view,reply,favorite,coin,share,like,order_pubdate,duration,danmuku_amount
Unnamed: 0.1,0.0,6.448586758049073e-23,2.0369161691536328e-25,0.04920033917365791,2.162988474423724e-22,0.0009459911562020865,8.555111072750497e-42,2.333762464949878e-13,1.6434047460960663e-277,7.067775215572727e-59,1.7238980357143584e-22,0.22254419981104048,0.014375940434734205,0.006520882963166509,0.9975103134875416,0.2618514904412926,0.008759377110806611,0.016070028959182636,0.8689671952563913,0.6880913499079644,0.0013016711366444051,0.020406694446750983,0.20548915603674708,3.650857361754723e-55,1.1255977531838544e-09,0.010436149782128527,5.91124279802741e-08,0.02450594486409861,3.0552972325602334e-16,0.11398740269556028,0.10342584167251685,0.40887830267270076,4.909676233348231e-06,2.0610781136300228e-22,0.05173554731896754,1.3168511889554183e-15,0.20285693249506623,1.5763319581037905e-11,1.1830674879239501e-07,0.08681741940722276,0.6874460156341762,0.00884408336313778,0.09069904073283877,0.026205776534459924,1.353692530677961e-25,0.6790003969349412,4.1781629530276396e-26,0.00032980901184724766,6.360016872755023e-12,1.5163589133992745e-05,1.3266051075600703e-22,0.07758508754895481,4.505585919173129e-47,6.566447278922922e-11,4.247553160789778e-28,0.0,3.563539558710557e-18,4.6307135174685955e-281,4.560254404987656e-28,3.020403927004601e-05,2.5245017190606426e-98,1.0951030100916916e-09,0.9434019316333279,6.980054160261515e-17,0.00013930591279046989,6.841877238028953e-56
second,6.448586758049073e-23,0.0,0.0,1.7060278791552492e-230,1.3231582327925963e-117,1.974808275120715e-37,1.5349740341631156e-197,9.302742763604245e-12,1.2604999469239768e-184,9.282883350287707e-231,0.0,5.584099580205981e-153,7.674480812706757e-200,1.652425616737711e-185,2.4842566160190182e-189,1.2635621271192965e-158,2.574075845670156e-161,7.523204170087466e-180,9.705742358666998e-131,4.467400355048961e-146,1.49458444204546e-130,5.148622622828674e-142,1.9492742273124142e-137,0.0,0.0,7.866637618741848e-145,2.7836167489551407e-06,0.0,0.0,0.0,0.0,1.1479857585383164e-23,9.181401117104834e-08,1.7413124743598612e-126,8.818936816768007e-205,0.0018456253588690044,0.0,4.179016612685625e-52,3.955077986241924e-27,0.0,2.0929607317207843e-43,1.1641024125308455e-95,1.2453056795214477e-33,3.603485185720478e-45,4.4747090403559425e-57,0.02875507855316266,0.0,8.510563807272016e-95,2.2902842293117808e-57,2.0821978112670914e-19,2.1346568844500332e-51,4.6248773334339325e-31,1.1835815290546738e-61,0.0,0.0,1.9610484736747333e-61,4.082114541958313e-52,0.0,0.0,0.0,0.0,0.0,0.0,2.9699805048640307e-63,0.0,0.0
frame,2.0369161691536328e-25,0.0,0.0,8.868921116072378e-227,6.479180261129916e-123,2.2625091428581873e-44,3.461777351014337e-188,4.540081498794161e-07,3.373759010329071e-175,5.282353324657671e-289,0.0,7.331683861499676e-155,4.323566954817527e-199,8.440601499575973e-187,6.593429478621465e-193,1.0311267266840217e-166,2.928821366274334e-173,4.774405790614485e-164,1.0325286674483578e-125,3.76385443802244e-144,8.366940366351773e-130,8.207633177847912e-141,7.772693145174803e-138,0.0,0.0,3.9591213089804257e-156,7.467025252473643e-06,0.0,0.0,0.0,0.0,1.0972159667506869e-22,2.137214239939416e-08,1.585457872175166e-129,3.025445021698907e-237,9.176152743485284e-05,0.0,3.704916857546699e-57,2.687740491227229e-27,0.0,5.038135126330242e-43,4.2702143328355014e-85,1.21479577794921e-41,5.857747344781824e-54,4.8751253980965515e-50,0.00032935829819531433,0.0,3.45113655269577e-92,7.146982779072871e-62,7.785602090219101e-19,2.426042772207859e-46,5.419908018564205e-29,3.9150481685975734e-50,0.0,0.0,2.7926972734462288e-55,1.0225546068310369e-61,0.0,0.0,0.0,0.0,0.0,2.760172745695659e-268,2.351848772862594e-74,0.0,0.0
brightness_mean,0.04920033917365791,1.7060278791552492e-230,8.868921116072378e-227,0.0,0.0,0.0,0.0,1.4394593611772238e-264,0.0,0.0,2.2457287947587948e-13,9.948666539575878e-06,0.00047383346269096,0.017121511309815315,0.016825330332238764,0.00012912834500035736,8.005388913763107e-11,0.07023019590398864,0.04800966508549218,0.00019091619458486982,3.716297706543086e-05,1.0272787628486476e-07,5.151362370095118e-08,0.22823382965001518,1.134937391692846e-43,2.2798870230275797e-15,1.7726197512581379e-06,1.3253007987469238e-17,9.985381024627134e-26,5.545379802006279e-17,0.00022849806971565674,0.0009921621052946677,6.374114356742353e-21,0.03455234725769774,2.052281545894141e-24,0.1555335081441705,5.090772892786586e-05,0.006125725323969537,7.391645769769921e-38,1.8603140483003014e-41,1.0587675538274916e-09,1.3361685679006215e-14,9.435333182626084e-48,1.9541119189499976e-18,1.3834778543549624e-06,4.338792986480786e-14,2.8630468170109336e-273,0.10098844987252345,6.965828831259295e-07,3.9216639399092247e-19,0.0001442434037880968,5.299870496619833e-06,3.7364035016292865e-47,1.009214472827362e-10,6.515752670962373e-31,7.219256402987927e-09,0.7822394698426587,0.0,0.0,0.0,0.0,0.0,6.2015727154174484e-242,0.8496227799563908,0.0,5.42130296497163e-285
brightness_max,2.162988474423724e-22,1.3231582327925963e-117,6.479180261129916e-123,0.0,0.0,0.0,1.8014436932559498e-09,0.1733775243222456,0.0,0.0,0.031139418411144364,0.4141792959264007,0.11190435376276545,0.0013844927250538691,0.00033209754831605624,2.694708021383316e-06,5.041269803669443e-14,1.2928610090286915e-34,0.05959857881807152,0.005311561870937452,0.00971214357654946,0.007133502629280228,0.2475752391082987,5.352881965312916e-24,2.409150096274802e-40,3.072476547167221e-34,2.8001934643668394e-56,1.7437593408214933e-09,3.42108964010671e-09,1.8611795833965887e-07,0.019812601397625064,7.096383256560939e-17,2.887954788331031e-19,0.0004818610405539385,1.5876461639957175e-23,3.159730135572064e-11,0.006161524332195846,0.00035758362367820085,0.012988370230274061,3.859546433813393e-39,0.2682158870597595,3.938110740740371e-60,3.9170611442840565e-06,3.845699006376536e-138,5.211292830706943e-210,5.370766952100099e-133,1.3315309448809254e-123,0.0009367961480566209,6.517515454943759e-34,0.7665765364796353,1.2768402484354177e-07,5.607565325676534e-14,1.2014519077809804e-81,0.00034553700916370195,1.0306247567896711e-29,7.636181462820382e-06,2.827338644898773e-06,4.222215924359927e-09,8.613167489533618e-41,0.0,0.0,0.0,3.8406413468068226e-249,6.872227945034778e-07,9.548944224530931e-12,2.7138214297992674e-45
brightness_min,0.0009459911562020865,1.974808275120715e-37,2.2625091428583486e-44,0.0,0.0,0.0,0.0,0.2104427044083259,0.0,0.0,0.0016662930006373334,0.2621296442338165,0.4534612533249408,0.02101052317494532,0.01994433213380506,8.978345404465623e-05,8.044885980175377e-07,1.0754529098378143e-22,0.06560766536687032,0.21256107278073053,0.018759220792376182,0.002957600613190329,0.011776234783073932,6.349817964394474e-10,0.000538994277672705,2.0886722902130617e-13,1.9382757990491745e-50,1.1558170141370417e-05,0.6096446972627144,0.22624573391562197,0.05142046204614325,1.6293747192285207e-28,1.0152307394767969e-27,1.2359931142525123e-08,1.3406717551669392e-18,1.3241244152193157e-11,0.5185280314551879,1.277817843860075e-06,1.7948711317489019e-07,0.3581661766330603,0.024978661943197724,6.806693867982646e-42,0.2870874385476586,2.190627548125733e-45,1.2916000595191854e-87,3.691729007689696e-41,2.3042796240794853e-32,0.028011647238740736,6.40289209099932e-05,0.0006136451500557994,0.33921226091100376,0.07397768001259823,4.371566227398033e-27,0.0009268166226110159,0.26232929551194933,0.016542046980633024,0.2474372502946561,0.019282971542656582,1.400240768965959e-07,2.5932627590632757e-148,5.368272667100561e-92,1.5366345750775898e-120,2.2759988133582675e-56,0.17499445665277796,1.953176147147689e-09,8.339858142764457e-15
saturation_mean,8.555111072750497e-42,1.5349740341631156e-197,3.46177735101473e-188,0.0,1.8014436932559498e-09,0.0,0.0,6.8504325181400434e-06,0.0,0.0,4.1029678292242996e-112,2.2446433016690654e-51,2.8922193144715965e-60,1.9571781365729442e-44,5.4472752337225385e-53,1.810353478839073e-42,2.5389750959235916e-39,9.568540171279989e-28,4.447947877227893e-44,3.883550403385326e-61,5.900150963914488e-53,8.665459414354976e-61,8.065640393614972e-62,0.005107815974483392,1.2116005117331828e-72,6.698005494982087e-90,1.9699296640023915e-23,0.0014482872037437353,0.007768755442746396,1.0435007100138313e-35,1.5372755751207832e-27,0.00016035777132787502,2.359642275805368e-106,9.209229710566894e-50,5.331962610028974e-22,2.1069161716150306e-11,2.2706703919798986e-72,0.7319478514406885,3.591977467292579e-132,9.035803791653069e-79,4.262999669073245e-17,0.00015931378914548435,3.7840230702381906e-60,1.4015958398326026e-90,1.089129807998926e-98,3.169013733428327e-95,3.473222595646352e-274,3.2826231901057074e-05,6.318195479352947e-06,2.9340183480323962e-05,0.00017771967723109372,0.04131336939227052,2.4230218472121296e-88,2.357012338602795e-85,1.3520779253929406e-25,3.497662109723811e-10,0.00017513185678427818,8.692788064731841e-162,2.2867309155576259e-181,0.0,1.228647309098138e-55,1.7056510358603484e-60,0.03548240914694742,1.3551819095159209e-06,9.653524491428839e-278,0.0
texture,2.333762464949878e-13,9.302742763604245e-12,4.5400814987941346e-07,1.4394593611767326e-264,0.17337752432224562,0.2104427044083259,6.850432518140018e-06,0.0,0.0005815359121570134,2.957669749385411e-50,9.750904697847526e-07,0.3790735258977933,0.4289809900792264,0.6907277091280128,0.9847113976050722,0.09382080336298267,0.8676314592695995,0.8154211504023302,0.48088481505257363,0.31706507658022187,0.09679902540068923,0.42144703377292647,0.8957723789412009,4.587622094326097e-16,1.9865426530213976e-19,0.0037307621934870145,9.529770875515141e-27,0.40549179434703764,9.027446200549181e-10,0.8708780119026983,2.4050625366986277e-08,5.024440951295537e-10,9.240184342979094e-13,3.8662161112008745e-27,4.295661497176808e-06,0.8460599704714686,0.07375774632388282,0.35799740804913194,0.013505328841884672,2.8015946529313112e-09,0.7050868606438578,1.1650617042943716e-07,9.265945274623174e-12,3.773670674534675e-08,6.711130769176293e-11,6.950601249462129e-10,0.2328946772913171,6.293679087673699e-05,4.9498024726035136e-05,9.909189527831155e-05,0.08113459100282491,0.2636183938970006,4.800516964236287e-08,4.827911124836236e-71,7.759115303087866e-44,0.00017427412592892384,2.0404841367771428e-52,2.29457074018935e-08,1.601357636472787e-45,6.305742593514073e-16,1.6785502993361435e-10,2.233888153218898e-06,6.97127922518256e-10,5.1518170059548596e-51,9.393443212638756e-13,3.122118931937246e-29
contrast,1.6434047460956922e-277,1.260499946923977e-184,3.373759010329071e-175,0.0,0.0,0.0,0.0,0.0005815359121570134,0.0,0.0,6.2426762158658794e-09,0.0735595682544133,0.5571178386758469,0.00012187524858377879,1.228873048052569e-06,9.007270890624145e-11,2.0944074024671923e-09,1.541070081645337e-17,0.16075246970988732,0.7176204827385151,0.45535721384511285,0.15598144171878384,0.007587848180631486,1.1408516593938905e-38,1.3186316678740917e-70,1.9410252764619032e-69,1.5346405492340515e-239,0.07113996462334546,3.884685917035123e-23,0.00016319781265471746,2.8374831317093624e-06,1.8050766222507507e-23,1.9235522648211088e-42,6.154552117382931e-25,7.08654411543534e-06,0.002147829181246673,0.0768382413303647,4.850476580666614e-19,1.9919602336129518e-05,0.0007842759367212342,0.8307744121181463,3.091332566949396e-56,5.518143554959927e-05,4.419272145788778e-116,6.105970027930435e-125,2.0901690400963585e-115,2.7958427471363094e-106,5.957541937713313e-07,5.1620788287157145e-26,0.5570981578239702,8.361455082532547e-05,3.4591791371086674e-25,8.163311083430981e-47,3.576227200121022e-151,3.8471550341734155e-192,1.5797923273791453e-05,7.064025446971786e-18,4.2894131125359636e-150,1.714476259229169e-157,0.0,8.708696309082748e-13,0.0,1.784863973695041e-275,1.9660247936795473e-17,2.216788265603739e-146,0.5300234855401658
color_entropy,7.06777521557293e-59,9.282883350287707e-231,5.282353324657671e-289,0.0,0.0,0.0,0.0,2.957669749385411e-50,0.0,0.0,0.0,0.021179967470538456,2.454306827333634e-05,1.2955410027930632e-06,0.012919419746156499,0.1290343501113279,0.07310679580019395,1.1249271806234293e-77,1.3616377208500937e-15,5.494947070433958e-13,1.7136753939337934e-16,9.150000256147195e-12,1.5286145944367125e-05,6.9015824169950266e-90,0.38672675929320777,0.5992075033470414,0.0,6.4864890275121605e-18,1.1174027577857569e-66,1.0861675458788663e-83,1.1610796872753784e-41,0.0001394486948256178,0.0,7.795793096135932e-185,1.0419487770802252e-113,0.8105011417334647,9.076528392506577e-09,1.3118816722625164e-09,8.348381046940151e-134,1.969865854113145e-15,3.0052388410514342e-24,1.9831442538971954e-31,2.2287154487642033e-09,2.3383112847672968e-47,5.680213444040467e-20,1.9985512751804326e-43,1.0767410362781666e-163,5.2487428659949986e-39,1.8478033471825184e-78,2.0229087398522288e-24,1.380013245502732e-93,3.262911157026015e-74,9.575903024535035e-169,4.858369202524562e-115,3.157496937238247e-238,0.1555289309603933,2.753921578965292e-47,0.0,0.0,0.0,0.0,0.0,0.0,1.4399494633646237e-45,3.5907853672950723e-41,1.1907662327712237e-06
